Latitud,Longitud,
18.71998,-98.75505,TRAZADO_23_06_15__PREDIOS
18.7209,-98.75613,TRAZADO_23_06_15__PREDIOS
18.72526,-98.77107,TRAZADO_23_06_15__PREDIOS
18.7321,-98.78543,TRAZADO_23_06_15__PREDIOS
18.72176,-98.75567,TRAZADO_23_06_15__PREDIOS
18.72905,-98.7816,TRAZADO_23_06_15__PREDIOS
18.72493,-98.77023,TRAZADO_23_06_15__PREDIOS
18.77602,-98.89214,TRAZADO_23_06_15__PREDIOS
18.72619,-98.77299,TRAZADO_23_06_15__PREDIOS
18.72595,-98.77276,TRAZADO_23_06_15__PREDIOS
18.72297,-98.76762,TRAZADO_23_06_15__PREDIOS
18.72289,-98.76729,TRAZADO_23_06_15__PREDIOS
18.79678,-98.88034,TRAZADO_23_06_15__PREDIOS
18.79358,-98.88348,TRAZADO_23_06_15__PREDIOS
18.79461,-98.88652,TRAZADO_23_06_15__PREDIOS
18.76193,-98.87057,TRAZADO_23_06_15__PREDIOS
18.76211,-98.87094,TRAZADO_23_06_15__PREDIOS
18.76199,-98.8678,TRAZADO_23_06_15__PREDIOS
18.76151,-98.86594,TRAZADO_23_06_15__PREDIOS
18.76168,-98.86622,TRAZADO_23_06_15__PREDIOS
18.76168,-98.86479,TRAZADO_23_06_15__PREDIOS
18.76154,-98.86295,TRAZADO_23_06_15__PREDIOS
18.76136,-98.86268,TRAZADO_23_06_15__PREDIOS
18.75174,-98.74149,TRAZADO_23_06_15__PREDIOS
18.75133,-98.74287,TRAZADO_23_06_15__PREDIOS
18.74757,-98.74565,TRAZADO_23_06_15__PREDIOS
18.74523,-98.74688,TRAZADO_23_06_15__PREDIOS
18.74448,-98.74852,TRAZADO_23_06_15__PREDIOS
18.74343,-98.74912,TRAZADO_23_06_15__PREDIOS
18.74258,-98.74954,TRAZADO_23_06_15__PREDIOS
18.74186,-98.75,TRAZADO_23_06_15__PREDIOS
18.75926,-98.83543,TRAZADO_23_06_15__PREDIOS
18.75812,-98.83597,TRAZADO_23_06_15__PREDIOS
18.75706,-98.83578,TRAZADO_23_06_15__PREDIOS
18.75605,-98.83599,TRAZADO_23_06_15__PREDIOS
18.76083,-98.83578,TRAZADO_23_06_15__PREDIOS
18.7609,-98.83549,TRAZADO_23_06_15__PREDIOS
18.76244,-98.83561,TRAZADO_23_06_15__PREDIOS
18.76233,-98.83512,TRAZADO_23_06_15__PREDIOS
18.76025,-98.83579,TRAZADO_23_06_15__PREDIOS
18.76015,-98.83557,TRAZADO_23_06_15__PREDIOS
18.7552,-98.83604,TRAZADO_23_06_15__PREDIOS
18.7546,-98.83682,TRAZADO_23_06_15__PREDIOS
18.7545,-98.83669,TRAZADO_23_06_15__PREDIOS
18.75277,-98.8372,TRAZADO_23_06_15__PREDIOS
18.7527,-98.83689,TRAZADO_23_06_15__PREDIOS
18.75225,-98.83576,TRAZADO_23_06_15__PREDIOS
18.75218,-98.8356,TRAZADO_23_06_15__PREDIOS
18.75132,-98.83441,TRAZADO_23_06_15__PREDIOS
18.75124,-98.83413,TRAZADO_23_06_15__PREDIOS
18.75076,-98.83288,TRAZADO_23_06_15__PREDIOS
18.75067,-98.83256,TRAZADO_23_06_15__PREDIOS
18.75007,-98.83177,TRAZADO_23_06_15__PREDIOS
18.74986,-98.83147,TRAZADO_23_06_15__PREDIOS
18.74966,-98.8304,TRAZADO_23_06_15__PREDIOS
18.74955,-98.82998,TRAZADO_23_06_15__PREDIOS
18.74825,-98.82736,TRAZADO_23_06_15__PREDIOS
18.74849,-98.82714,TRAZADO_23_06_15__PREDIOS
18.74789,-98.82669,TRAZADO_23_06_15__PREDIOS
18.74814,-98.82648,TRAZADO_23_06_15__PREDIOS
18.74769,-98.82645,TRAZADO_23_06_15__PREDIOS
18.74787,-98.82628,TRAZADO_23_06_15__PREDIOS
18.74757,-98.82617,TRAZADO_23_06_15__PREDIOS
18.74773,-98.826,TRAZADO_23_06_15__PREDIOS
18.74732,-98.82557,TRAZADO_23_06_15__PREDIOS
18.74749,-98.8254,TRAZADO_23_06_15__PREDIOS
18.7469,-98.82485,TRAZADO_23_06_15__PREDIOS
18.74682,-98.82462,TRAZADO_23_06_15__PREDIOS
18.74624,-98.82297,TRAZADO_23_06_15__PREDIOS
18.74626,-98.82276,TRAZADO_23_06_15__PREDIOS
18.74764,-98.82113,TRAZADO_23_06_15__PREDIOS
18.74757,-98.82085,TRAZADO_23_06_15__PREDIOS
18.74735,-98.81989,TRAZADO_23_06_15__PREDIOS
18.74728,-98.81956,TRAZADO_23_06_15__PREDIOS
18.74586,-98.81301,TRAZADO_23_06_15__PREDIOS
18.74575,-98.81267,TRAZADO_23_06_15__PREDIOS
18.75332,-98.8354,TRAZADO_23_06_15__PREDIOS
18.75511,-98.83663,TRAZADO_23_06_15__PREDIOS
18.75022,-98.83191,TRAZADO_23_06_15__PREDIOS
18.75179,-98.83476,TRAZADO_23_06_15__PREDIOS
18.74756,-98.81996,TRAZADO_23_06_15__PREDIOS
18.74757,-98.82255,TRAZADO_23_06_15__PREDIOS
18.74749,-98.82227,TRAZADO_23_06_15__PREDIOS
18.76418,-98.83595,TRAZADO_23_06_15__PREDIOS
18.76409,-98.83554,TRAZADO_23_06_15__PREDIOS
18.74704,-98.82516,TRAZADO_23_06_15__PREDIOS
18.74637,-98.82372,TRAZADO_23_06_15__PREDIOS
18.74639,-98.82367,TRAZADO_23_06_15__PREDIOS
18.74731,-98.82122,TRAZADO_23_06_15__PREDIOS
18.7326,-98.75061,TRAZADO_23_06_15__PREDIOS
18.7311,-98.75056,TRAZADO_23_06_15__PREDIOS
18.72978,-98.7513,TRAZADO_23_06_15__PREDIOS
18.7308,-98.78512,TRAZADO_23_06_15__PREDIOS
18.72761,-98.78056,TRAZADO_23_06_15__PREDIOS
18.72737,-98.78127,TRAZADO_23_06_15__PREDIOS
18.72643,-98.77642,TRAZADO_23_06_15__PREDIOS
18.72673,-98.77173,TRAZADO_23_06_15__PREDIOS
18.72996,-98.78441,TRAZADO_23_06_15__PREDIOS
18.76171,-98.83575,TRAZADO_23_06_15__PREDIOS
18.76164,-98.83555,TRAZADO_23_06_15__PREDIOS
18.74835,-98.82027,TRAZADO_23_06_15__PREDIOS
18.74827,-98.82008,TRAZADO_23_06_15__PREDIOS
18.74817,-98.81818,TRAZADO_23_06_15__PREDIOS
18.74811,-98.81796,TRAZADO_23_06_15__PREDIOS
18.74806,-98.81703,TRAZADO_23_06_15__PREDIOS
18.74799,-98.81675,TRAZADO_23_06_15__PREDIOS
18.76203,-98.87076,TRAZADO_23_06_15__PREDIOS
18.76576,-98.88043,TRAZADO_23_06_15__PREDIOS
18.78414,-98.88786,TRAZADO_23_06_15__PREDIOS
18.78232,-98.88816,TRAZADO_23_06_15__PREDIOS
18.78104,-98.88866,TRAZADO_23_06_15__PREDIOS
18.7789,-98.89049,TRAZADO_23_06_15__PREDIOS
18.77806,-98.88919,TRAZADO_23_06_15__PREDIOS
18.77744,-98.89043,TRAZADO_23_06_15__PREDIOS
18.77289,-98.89205,TRAZADO_23_06_15__PREDIOS
18.78338,-98.88857,TRAZADO_23_06_15__PREDIOS
18.74796,-98.81731,TRAZADO_23_06_15__PREDIOS
19.4123,-98.32298,TRAZADO_23_06_15__PREDIOS
19.41275,-98.32324,TRAZADO_23_06_15__PREDIOS
19.41323,-98.32382,TRAZADO_23_06_15__PREDIOS
19.41316,-98.32457,TRAZADO_23_06_15__PREDIOS
19.41346,-98.32558,TRAZADO_23_06_15__PREDIOS
19.41395,-98.32708,TRAZADO_23_06_15__PREDIOS
19.41403,-98.32823,TRAZADO_23_06_15__PREDIOS
19.4159,-98.33036,TRAZADO_23_06_15__PREDIOS
19.41658,-98.32975,TRAZADO_23_06_15__PREDIOS
19.41691,-98.32994,TRAZADO_23_06_15__PREDIOS
19.41727,-98.3301,TRAZADO_23_06_15__PREDIOS
19.20189,-98.32885,TRAZADO_23_06_15__PREDIOS
19.20269,-98.32825,TRAZADO_23_06_15__PREDIOS
19.44345,-98.33353,TRAZADO_23_06_15__PREDIOS
19.44384,-98.33327,TRAZADO_23_06_15__PREDIOS
19.44555,-98.33434,TRAZADO_23_06_15__PREDIOS
19.44678,-98.33384,TRAZADO_23_06_15__PREDIOS
19.44704,-98.33287,TRAZADO_23_06_15__PREDIOS
19.44885,-98.33213,TRAZADO_23_06_15__PREDIOS
19.45156,-98.33373,TRAZADO_23_06_15__PREDIOS
19.45383,-98.33189,TRAZADO_23_06_15__PREDIOS
19.45473,-98.33219,TRAZADO_23_06_15__PREDIOS
19.45543,-98.33165,TRAZADO_23_06_15__PREDIOS
19.45685,-98.33182,TRAZADO_23_06_15__PREDIOS
19.45876,-98.33161,TRAZADO_23_06_15__PREDIOS
19.46001,-98.3318,TRAZADO_23_06_15__PREDIOS
19.46197,-98.33146,TRAZADO_23_06_15__PREDIOS
19.46518,-98.3326,TRAZADO_23_06_15__PREDIOS
19.46605,-98.33119,TRAZADO_23_06_15__PREDIOS
19.46695,-98.33123,TRAZADO_23_06_15__PREDIOS
19.46821,-98.33126,TRAZADO_23_06_15__PREDIOS
19.46903,-98.3322,TRAZADO_23_06_15__PREDIOS
19.46959,-98.33138,TRAZADO_23_06_15__PREDIOS
19.47083,-98.33036,TRAZADO_23_06_15__PREDIOS
19.47176,-98.32955,TRAZADO_23_06_15__PREDIOS
19.47227,-98.32946,TRAZADO_23_06_15__PREDIOS
19.47417,-98.32947,TRAZADO_23_06_15__PREDIOS
19.47468,-98.32786,TRAZADO_23_06_15__PREDIOS
19.48001,-98.32804,TRAZADO_23_06_15__PREDIOS
19.48235,-98.328,TRAZADO_23_06_15__PREDIOS
19.4821,-98.3294,TRAZADO_23_06_15__PREDIOS
19.48304,-98.33006,TRAZADO_23_06_15__PREDIOS
19.4841,-98.32841,TRAZADO_23_06_15__PREDIOS
19.48591,-98.3302,TRAZADO_23_06_15__PREDIOS
19.48678,-98.33029,TRAZADO_23_06_15__PREDIOS
19.4875,-98.3302,TRAZADO_23_06_15__PREDIOS
19.48841,-98.33051,TRAZADO_23_06_15__PREDIOS
19.4894,-98.32923,TRAZADO_23_06_15__PREDIOS
19.48959,-98.3289,TRAZADO_23_06_15__PREDIOS
19.48924,-98.32725,TRAZADO_23_06_15__PREDIOS
19.49057,-98.32778,TRAZADO_23_06_15__PREDIOS
19.49025,-98.32695,TRAZADO_23_06_15__PREDIOS
19.49177,-98.32725,TRAZADO_23_06_15__PREDIOS
19.4918,-98.32603,TRAZADO_23_06_15__PREDIOS
19.49309,-98.32664,TRAZADO_23_06_15__PREDIOS
19.49479,-98.32523,TRAZADO_23_06_15__PREDIOS
19.49479,-98.32712,TRAZADO_23_06_15__PREDIOS
19.49717,-98.32628,TRAZADO_23_06_15__PREDIOS
19.50201,-98.32575,TRAZADO_23_06_15__PREDIOS
19.50109,-98.32264,TRAZADO_23_06_15__PREDIOS
19.50197,-98.32196,TRAZADO_23_06_15__PREDIOS
19.5027,-98.32127,TRAZADO_23_06_15__PREDIOS
19.50367,-98.3208,TRAZADO_23_06_15__PREDIOS
19.50568,-98.32213,TRAZADO_23_06_15__PREDIOS
19.50535,-98.31999,TRAZADO_23_06_15__PREDIOS
19.50571,-98.32043,TRAZADO_23_06_15__PREDIOS
19.50519,-98.31965,TRAZADO_23_06_15__PREDIOS
19.50613,-98.31926,TRAZADO_23_06_15__PREDIOS
19.50638,-98.31972,TRAZADO_23_06_15__PREDIOS
19.50726,-98.31911,TRAZADO_23_06_15__PREDIOS
19.50685,-98.31836,TRAZADO_23_06_15__PREDIOS
19.50845,-98.31835,TRAZADO_23_06_15__PREDIOS
19.50919,-98.31816,TRAZADO_23_06_15__PREDIOS
19.51048,-98.31838,TRAZADO_23_06_15__PREDIOS
19.51163,-98.31846,TRAZADO_23_06_15__PREDIOS
19.51339,-98.31863,TRAZADO_23_06_15__PREDIOS
19.51572,-98.31977,TRAZADO_23_06_15__PREDIOS
19.5183,-98.32021,TRAZADO_23_06_15__PREDIOS
19.51998,-98.32032,TRAZADO_23_06_15__PREDIOS
19.52099,-98.32035,TRAZADO_23_06_15__PREDIOS
19.52232,-98.321,TRAZADO_23_06_15__PREDIOS
19.52478,-98.32137,TRAZADO_23_06_15__PREDIOS
19.52725,-98.32153,TRAZADO_23_06_15__PREDIOS
19.52957,-98.32169,TRAZADO_23_06_15__PREDIOS
19.53055,-98.32138,TRAZADO_23_06_15__PREDIOS
19.53125,-98.32105,TRAZADO_23_06_15__PREDIOS
19.53176,-98.32071,TRAZADO_23_06_15__PREDIOS
19.53223,-98.32176,TRAZADO_23_06_15__PREDIOS
19.53301,-98.32129,TRAZADO_23_06_15__PREDIOS
19.53375,-98.32087,TRAZADO_23_06_15__PREDIOS
19.53577,-98.32127,TRAZADO_23_06_15__PREDIOS
19.53805,-98.32244,TRAZADO_23_06_15__PREDIOS
19.53854,-98.32258,TRAZADO_23_06_15__PREDIOS
19.5394,-98.32269,TRAZADO_23_06_15__PREDIOS
19.54149,-98.324,TRAZADO_23_06_15__PREDIOS
19.5433,-98.32413,TRAZADO_23_06_15__PREDIOS
19.54555,-98.32422,TRAZADO_23_06_15__PREDIOS
19.54541,-98.32288,TRAZADO_23_06_15__PREDIOS
19.5474,-98.32308,TRAZADO_23_06_15__PREDIOS
19.5482,-98.32286,TRAZADO_23_06_15__PREDIOS
19.54864,-98.32261,TRAZADO_23_06_15__PREDIOS
19.55015,-98.32214,TRAZADO_23_06_15__PREDIOS
19.55188,-98.32235,TRAZADO_23_06_15__PREDIOS
19.55319,-98.32203,TRAZADO_23_06_15__PREDIOS
19.55466,-98.32198,TRAZADO_23_06_15__PREDIOS
19.55748,-98.32146,TRAZADO_23_06_15__PREDIOS
19.55758,-98.32332,TRAZADO_23_06_15__PREDIOS
19.55839,-98.32252,TRAZADO_23_06_15__PREDIOS
19.55887,-98.32509,TRAZADO_23_06_15__PREDIOS
19.55963,-98.32397,TRAZADO_23_06_15__PREDIOS
19.56,-98.3239,TRAZADO_23_06_15__PREDIOS
19.56041,-98.32392,TRAZADO_23_06_15__PREDIOS
19.56114,-98.32403,TRAZADO_23_06_15__PREDIOS
19.56189,-98.32381,TRAZADO_23_06_15__PREDIOS
19.56357,-98.32521,TRAZADO_23_06_15__PREDIOS
19.56386,-98.32621,TRAZADO_23_06_15__PREDIOS
19.56401,-98.32704,TRAZADO_23_06_15__PREDIOS
19.56424,-98.32769,TRAZADO_23_06_15__PREDIOS
19.56436,-98.32817,TRAZADO_23_06_15__PREDIOS
19.56451,-98.32866,TRAZADO_23_06_15__PREDIOS
19.56471,-98.32906,TRAZADO_23_06_15__PREDIOS
19.56479,-98.3295,TRAZADO_23_06_15__PREDIOS
19.56501,-98.33,TRAZADO_23_06_15__PREDIOS
19.56519,-98.33044,TRAZADO_23_06_15__PREDIOS
19.56528,-98.33092,TRAZADO_23_06_15__PREDIOS
19.56538,-98.33134,TRAZADO_23_06_15__PREDIOS
19.56555,-98.33183,TRAZADO_23_06_15__PREDIOS
19.56562,-98.33241,TRAZADO_23_06_15__PREDIOS
19.56576,-98.33294,TRAZADO_23_06_15__PREDIOS
19.56587,-98.33339,TRAZADO_23_06_15__PREDIOS
19.56607,-98.33391,TRAZADO_23_06_15__PREDIOS
